Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MPperG,PTSperG,RBperG,ASTperG,WS,WS/48,BPM,VORP,Year
3,PHW,Paul Arizin,Villanova,10,713,24897.0,16266,6129,1665,.421,,.810,38.4,22.8,8.6,2.3,108.8,.183,,,1950
1,BOS,Chuck Share,Bowling Green,9,596,13023.0,4928,4986,809,.400,,.693,21.9,8.3,8.4,1.4,42.0,.155,,,1950
2,BLB,Don Rehfeldt,Wisconsin,2,98,788.0,692,494,118,.370,,.758,20.2,7.1,5.0,1.2,3.5,.048,,,1950
4,TRI,Bob Cousy,Holy Cross,14,924,30165.0,16960,4786,6955,.375,,.803,35.3,18.4,5.2,7.5,91.1,.139,,,1950
5,WSC,Dick Schnittker,Ohio State,6,364,6744.0,3030,1372,479,.379,,.825,20.1,8.3,3.8,1.3,22.0,.132,,,1950
6,CHS,Larry Foust,La Salle,12,817,21890.0,11198,8041,1368,.405,,.741,29.2,13.7,9.8,1.7,79.2,.164,,,1950
7,NYK,Irwin Dambrot,City College of New York,,,0.0,,,,,,,,,,,,,,,1950
8,FTW,George Yardley,Stanford,7,472,15767.0,9063,4220,815,.422,,.780,33.4,19.2,8.9,1.7,58.5,.178,,,1950
9,INO,Bob Lavoy,Western Kentucky,4,264,5433.0,2156,1634,391,.384,,.707,27.0,8.2,6.2,1.5,15.9,.132,,,1950
10,ROC,Joe McNamee,San Francisco,2,118,695.0,289,238,58,.298,,.620,12.0,2.4,2.0,0.5,-1.3,-.055,,,1950
11,MNL,Kevin O'Shea,Notre Dame,3,174,2368.0,911,402,358,.337,,.680,21.3,5.2,2.3,2.1,3.8,.034,,,1950
12,SYR,Don Lofgran,San Francisco,4,209,3422.0,1265,817,216,.329,,.692,23.1,6.1,3.9,1.0,3.0,.044,,,1950
13,BOS,Chuck Cooper,Duquesne,6,409,7964.0,2725,2431,734,.339,,.743,23.2,6.7,5.9,1.8,11.6,.050,,,1950
14,BLB,John Pilch,Wyoming,1,9,41.0,5,9,2,.100,,.500,4.6,0.6,1.0,0.2,-0.1,-.118,,,1950
15,PHW,Ed Dahler,Duquesne,1,14,112.0,35,22,5,.368,,1.000,8.0,2.5,1.6,0.4,0.1,.036,,,1950
16,TRI,Ed Gayda,Washington State,1,15,0.0,56,39,13,.413,,.750,,3.7,2.6,0.9,0.6,,,,1950
17,WSC,Bill Sharman,USC,11,711,21793.0,12665,2793,2101,.426,,.883,32.0,17.8,3.9,3.0,82.8,.178,,,1950
18,CHS,Wally Osterkorn,Illinois,4,204,5187.0,1436,1218,346,.334,,.592,25.4,7.0,6.0,1.7,8.9,.082,,,1950
19,NYK,Herb Scherer,Long Island University,2,32,167.0,115,76,23,.289,,.592,13.9,3.6,2.4,0.7,-0.4,-.092,,,1950
20,FTW,Jim Riffey,Tulane,1,35,0.0,150,61,16,.351,,.769,,4.3,1.7,0.5,0.2,,,,1950
21,INO,Paul Unruh,Bradley,,,0.0,,,,,,,,,,,,,,,1950
22,ROC,George Stanich,UCLA,,,0.0,,,,,,,,,,,,,,,1950
23,MNL,Hal Haskins,Hamline University,,,0.0,,,,,,,,,,,,,,,1950
24,SYR,Gerry Calabrese,St. John's,2,104,937.0,492,149,148,.348,,.702,16.2,4.7,1.4,1.4,1.9,.046,,,1950
